17:18:26.016	SERVER	admin	OK	Server was started (port: 1984).
17:28:09.212	127.0.0.1:54179	admin	OK	Query executed in 8.82 ms.	9.63 ms
17:29:17.789	127.0.0.1:54195	admin	REQUEST	OPEN f1	0.33 ms
17:29:17.792	127.0.0.1:54195	admin	OK	Database 'f1' was opened in 2.38 ms.	2.74 ms
17:29:17.793	127.0.0.1:54195	admin	REQUEST	DELETE rssf1.xml	0.29 ms
17:29:17.795	127.0.0.1:54195	admin	OK	0 resource(s) deleted in 1.1 ms.	1.89 ms
17:29:19.799	127.0.0.1:54195	admin	REQUEST	ADD TO RSS [...]	0.17 ms
17:29:19.813	127.0.0.1:54195	admin	OK	Resource(s) added in 8.85 ms.	13.52 ms
17:29:19.814	127.0.0.1:54195	admin	REQUEST	XQUERY <root>{ for $i in collection('f1')//item[position()<6] return <elem> {$i/title} {$i/pubDate} {$i/author} {$i/link} {$i/description} </elem>} </root>	0.42 ms
17:29:19.823	127.0.0.1:54195	admin	OK	Query executed in 9.13 ms.	9.74 ms
17:30:07.912	127.0.0.1:54205	admin	REQUEST	OPEN f1	0.36 ms
17:30:07.915	127.0.0.1:54205	admin	OK	Database 'f1' was opened in 2.25 ms.	2.54 ms
17:30:07.915	127.0.0.1:54205	admin	REQUEST	DELETE RSS	0.24 ms
17:30:07.920	127.0.0.1:54205	admin	OK	3 resource(s) deleted in 1.52 ms.	4.52 ms
17:30:10.515	127.0.0.1:54205	admin	REQUEST	ADD TO RSS [...]	0.17 ms
17:30:10.527	127.0.0.1:54205	admin	OK	Resource(s) added in 7.14 ms.	12.1 ms
17:30:10.527	127.0.0.1:54205	admin	REQUEST	XQUERY <root>{ for $i in collection('f1')//item[position()<6] return <elem> {$i/title} {$i/pubDate} {$i/author} {$i/link} {$i/description} </elem>} </root>	0.4 ms
17:30:10.532	127.0.0.1:54205	admin	OK	Query executed in 4.14 ms.	4.58 ms
18:22:22.445	127.0.0.1:54205	admin	REQUEST	OPEN f1	0.58 ms
18:22:22.445	127.0.0.1:54205	admin	OK	Database 'f1' was opened in 0.02 ms.	0.42 ms
18:22:22.446	127.0.0.1:54205	admin	REQUEST	DELETE RSS	0.17 ms
18:22:22.674	127.0.0.1:54205	admin	OK	1 resource(s) deleted in 1.21 ms.	228.38 ms
18:22:24.596	127.0.0.1:54205	admin	REQUEST	ADD TO RSS [...]	0.22 ms
18:22:24.608	127.0.0.1:54205	admin	OK	Resource(s) added in 7.79 ms.	11.67 ms
18:22:24.609	127.0.0.1:54205	admin	REQUEST	XQUERY <root>{ for $i in collection('f1')//item[position()<6] return <elem> {$i/title} {$i/pubDate} {$i/author} {$i/link} {$i/description} </elem>} </root>	0.35 ms
18:22:24.613	127.0.0.1:54205	admin	OK	Query executed in 4.02 ms.	4.44 ms
18:22:38.135	127.0.0.1:54205	admin	REQUEST	OPEN f1	0.38 ms
18:22:38.139	127.0.0.1:54205	admin	OK	Database 'f1' was opened in 0.02 ms.	3.55 ms
18:22:38.139	127.0.0.1:54205	admin	REQUEST	DELETE RSS	0.21 ms
18:22:38.143	127.0.0.1:54205	admin	OK	1 resource(s) deleted in 0.84 ms.	3.52 ms
18:22:40.111	127.0.0.1:54205	admin	REQUEST	ADD TO RSS [...]	0.13 ms
18:22:40.122	127.0.0.1:54205	admin	OK	Resource(s) added in 7.6 ms.	11.72 ms
18:22:40.123	127.0.0.1:54205	admin	REQUEST	XQUERY <root>{ for $i in collection('f1')//item[position()<6] return <elem> {$i/title} {$i/pubDate} {$i/author} {$i/link} {$i/description} </elem>} </root>	0.43 ms
18:22:40.129	127.0.0.1:54205	admin	OK	Query executed in 5.87 ms.	6.43 ms
18:22:45.391	127.0.0.1:54205	admin	REQUEST	XQUERY for $c in collection('f1')//ConstructorTable where $c/@season=2020 return $c	0.39 ms
18:22:45.403	127.0.0.1:54205	admin	OK	Query executed in 11.04 ms.	11.53 ms
18:23:25.949	127.0.0.1:54205	admin	REQUEST	XQUERY for $c in collection('f1')//ConstructorTable where $c/@season=2020 return $c	0.34 ms
18:23:25.952	127.0.0.1:54205	admin	OK	Query executed in 2.31 ms.	2.7 ms
18:23:28.780	127.0.0.1:54205	admin	REQUEST	OPEN f1	0.3 ms
18:23:28.780	127.0.0.1:54205	admin	OK	Database 'f1' was opened in 0.03 ms.	0.2 ms
18:23:28.781	127.0.0.1:54205	admin	REQUEST	DELETE RSS	0.17 ms
18:23:28.785	127.0.0.1:54205	admin	OK	1 resource(s) deleted in 0.83 ms.	3.85 ms
18:23:30.732	127.0.0.1:54205	admin	REQUEST	ADD TO RSS [...]	0.14 ms
18:23:30.742	127.0.0.1:54205	admin	OK	Resource(s) added in 6.54 ms.	9.85 ms
18:23:30.743	127.0.0.1:54205	admin	REQUEST	XQUERY <root>{ for $i in collection('f1')//item[position()<6] return <elem> {$i/title} {$i/pubDate} {$i/author} {$i/link} {$i/description} </elem>} </root>	0.3 ms
18:23:30.747	127.0.0.1:54205	admin	OK	Query executed in 3.62 ms.	4.06 ms
18:23:57.059	127.0.0.1:54205	admin	REQUEST	OPEN f1	0.4 ms
18:23:57.059	127.0.0.1:54205	admin	OK	Database 'f1' was opened in 0.02 ms.	0.21 ms
18:23:57.059	127.0.0.1:54205	admin	REQUEST	DELETE RSS	0.15 ms
18:23:57.062	127.0.0.1:54205	admin	OK	1 resource(s) deleted in 0.82 ms.	3.36 ms
18:23:59.544	127.0.0.1:54205	admin	REQUEST	ADD TO RSS [...]	0.16 ms
18:23:59.559	127.0.0.1:54205	admin	OK	Resource(s) added in 10.74 ms.	15.25 ms
18:23:59.560	127.0.0.1:54205	admin	REQUEST	XQUERY <root>{ for $i in collection('f1')//item[position()<6] return <elem> {$i/title} {$i/pubDate} {$i/author} {$i/link} {$i/description} </elem>} </root>	0.28 ms
18:23:59.565	127.0.0.1:54205	admin	OK	Query executed in 4.2 ms.	4.64 ms
18:25:04.068	127.0.0.1:54205	admin	REQUEST	XQUERY <root>{for $c in collection('f1')//Circuit return <elem> {$c/CircuitName} {$c/Location} </elem>}</root>	0.43 ms
18:25:04.087	127.0.0.1:54205	admin	OK	Query executed in 17.63 ms.	18.29 ms
18:28:17.734	127.0.0.1:54205	admin	REQUEST	XQUERY for $c in collection('f1')//ConstructorTable where $c/@season=2020 return $c	0.4 ms
18:28:17.736	127.0.0.1:54205	admin	OK	Query executed in 2.03 ms.	2.41 ms
18:28:27.656	127.0.0.1:54205	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2020 return $p	0.85 ms
18:28:27.658	127.0.0.1:54205	admin	OK	Query executed in 1.97 ms.	2.4 ms
18:28:37.556	127.0.0.1:54500	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2018 return $p	0.96 ms
18:28:37.563	127.0.0.1:54500	admin	OK	Query executed in 5.94 ms.	6.42 ms
18:29:59.561	127.0.0.1:54513	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2018 return $p	0.38 ms
18:29:59.567	127.0.0.1:54513	admin	OK	Query executed in 5.62 ms.	6.12 ms
18:30:11.526	127.0.0.1:54522	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.5 ms
18:30:11.531	127.0.0.1:54522	admin	OK	Query executed in 4.47 ms.	5.11 ms
18:30:45.142	127.0.0.1:54531	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.32 ms
18:30:45.146	127.0.0.1:54531	admin	OK	Query executed in 3.58 ms.	4.04 ms
18:33:35.858	127.0.0.1:54541	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.43 ms
18:33:35.863	127.0.0.1:54541	admin	OK	Query executed in 4.32 ms.	4.76 ms
18:39:00.165	127.0.0.1:54594	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.43 ms
18:39:00.170	127.0.0.1:54594	admin	OK	Query executed in 3.88 ms.	4.3 ms
18:40:07.774	127.0.0.1:54605	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.34 ms
18:40:07.778	127.0.0.1:54605	admin	OK	Query executed in 3.59 ms.	3.98 ms
18:40:08.318	127.0.0.1:54605	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.15 ms
18:40:08.318	127.0.0.1:54605	admin	ERROR	No database opened.	0.57 ms
18:40:48.875	127.0.0.1:54621	admin	REQUEST	OPEN f1	0.31 ms
18:40:48.878	127.0.0.1:54621	admin	OK	Database 'f1' was opened in 2.73 ms.	2.97 ms
18:40:50.097	127.0.0.1:54621	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	1.02 ms
18:40:50.099	127.0.0.1:54621	admin	OK	Query executed in 1.45 ms.	1.93 ms
18:40:50.442	127.0.0.1:54621	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.13 ms
18:40:50.455	127.0.0.1:54621	admin	OK	Resource(s) added in 8.46 ms.	11.85 ms
18:41:31.050	127.0.0.1:54628	admin	REQUEST	OPEN f1	0.35 ms
18:41:31.053	127.0.0.1:54628	admin	OK	Database 'f1' was opened in 2.63 ms.	2.89 ms
18:41:42.691	127.0.0.1:54634	admin	REQUEST	OPEN f1	0.38 ms
18:41:42.693	127.0.0.1:54634	admin	OK	Database 'f1' was opened in 2.66 ms.	2.91 ms
18:41:45.043	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.36 ms
18:41:45.048	127.0.0.1:54634	admin	OK	Query executed in 4.24 ms.	4.74 ms
18:41:45.536	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.21 ms
18:41:45.542	127.0.0.1:54634	admin	ERROR	Improper use? Potential bug? Your feedback is welcome: Contact: basex-talk@mailman.uni-konstanz.de Version: BaseX 9.4.4 Java: Oracle Corporation, 9 OS: Windows 10, amd64 Stack Trace: java.lang.RuntimeException: f1: lock file does not exist. at org.basex.util.Util.notExpected(Util.java:61) at org.basex.data.DiskData.finishUpdate(DiskData.java:246) at org.basex.core.cmd.ACreate.update(ACreate.java:97) at org.basex.core.cmd.Add.run(Add.java:56) at org.basex.core.Command.run(Command.java:257) at org.basex.core.Command.execute(Command.java:93) at org.basex.core.Command.execute(Command.java:116) at org.basex.server.ClientListener.execute(ClientListener.java:346) at org.basex.server.ClientListener.add(ClientListener.java:317) at org.basex.server.ClientListener.run(ClientListener.java:99)	6.54 ms
18:41:52.178	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.45 ms
18:41:52.181	127.0.0.1:54634	admin	OK	Query executed in 1.98 ms.	2.33 ms
18:41:52.731	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.15 ms
18:41:52.739	127.0.0.1:54634	admin	OK	Resource(s) added in 4.36 ms.	8.07 ms
18:41:52.740	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.5 ms
18:41:52.743	127.0.0.1:54634	admin	OK	Query executed in 2.62 ms.	3.32 ms
18:41:53.050	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.22 ms
18:41:53.057	127.0.0.1:54634	admin	OK	Resource(s) added in 3.99 ms.	7.05 ms
18:41:53.058	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.23 ms
18:41:53.060	127.0.0.1:54634	admin	OK	Query executed in 1.54 ms.	1.81 ms
18:41:53.373	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.13 ms
18:41:53.381	127.0.0.1:54634	admin	OK	Resource(s) added in 3.71 ms.	7.36 ms
18:41:53.381	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.34 ms
18:41:53.383	127.0.0.1:54634	admin	OK	Query executed in 1.56 ms.	1.87 ms
18:41:53.703	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.13 ms
18:41:53.710	127.0.0.1:54634	admin	OK	Resource(s) added in 3.53 ms.	6.67 ms
18:41:53.710	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.31 ms
18:41:53.714	127.0.0.1:54634	admin	OK	Query executed in 2.61 ms.	2.99 ms
18:41:54.032	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.13 ms
18:41:54.038	127.0.0.1:54634	admin	OK	Resource(s) added in 3.2 ms.	6.32 ms
18:41:54.039	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.32 ms
18:41:54.041	127.0.0.1:54634	admin	OK	Query executed in 1.96 ms.	2.3 ms
18:41:54.377	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.14 ms
18:41:54.385	127.0.0.1:54634	admin	OK	Resource(s) added in 3.99 ms.	8.05 ms
18:41:54.386	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.26 ms
18:41:54.388	127.0.0.1:54634	admin	OK	Query executed in 1.6 ms.	1.9 ms
18:41:54.719	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.14 ms
18:41:54.725	127.0.0.1:54634	admin	OK	Resource(s) added in 3.3 ms.	6.25 ms
18:41:54.726	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.25 ms
18:41:54.729	127.0.0.1:54634	admin	OK	Query executed in 2.62 ms.	3.15 ms
18:41:55.068	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.13 ms
18:41:55.074	127.0.0.1:54634	admin	OK	Resource(s) added in 2.99 ms.	5.92 ms
18:41:55.075	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.39 ms
18:41:55.077	127.0.0.1:54634	admin	OK	Query executed in 1.92 ms.	2.39 ms
18:41:55.391	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.12 ms
18:41:55.396	127.0.0.1:54634	admin	OK	Resource(s) added in 2.73 ms.	5.48 ms
18:41:55.397	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.22 ms
18:41:55.399	127.0.0.1:54634	admin	OK	Query executed in 1.51 ms.	1.75 ms
18:41:55.709	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.17 ms
18:41:55.717	127.0.0.1:54634	admin	OK	Resource(s) added in 3.43 ms.	8.04 ms
18:41:55.718	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.31 ms
18:41:55.721	127.0.0.1:54634	admin	OK	Query executed in 2.67 ms.	3.09 ms
18:41:56.035	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.16 ms
18:41:56.041	127.0.0.1:54634	admin	OK	Resource(s) added in 3.12 ms.	5.9 ms
18:41:56.041	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.3 ms
18:41:56.043	127.0.0.1:54634	admin	OK	Query executed in 1.74 ms.	2.05 ms
18:41:56.368	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.15 ms
18:41:56.373	127.0.0.1:54634	admin	OK	Resource(s) added in 2.55 ms.	5.25 ms
18:41:56.374	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.21 ms
18:41:56.376	127.0.0.1:54634	admin	OK	Query executed in 1.74 ms.	2.04 ms
18:41:57.004	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.21 ms
18:41:57.015	127.0.0.1:54634	admin	OK	Resource(s) added in 6.37 ms.	10.77 ms
18:41:57.016	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.31 ms
18:41:57.019	127.0.0.1:54634	admin	OK	Query executed in 2.94 ms.	3.51 ms
18:41:57.449	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.14 ms
18:41:57.456	127.0.0.1:54634	admin	OK	Resource(s) added in 3.05 ms.	6.61 ms
18:41:57.456	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.2 ms
18:41:57.461	127.0.0.1:54634	admin	OK	Query executed in 3.19 ms.	3.73 ms
18:41:57.775	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.19 ms
18:41:57.781	127.0.0.1:54634	admin	OK	Resource(s) added in 2.71 ms.	5.81 ms
18:41:57.782	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.21 ms
18:41:57.784	127.0.0.1:54634	admin	OK	Query executed in 1.88 ms.	2.27 ms
18:41:58.104	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.11 ms
18:41:58.110	127.0.0.1:54634	admin	OK	Resource(s) added in 3.04 ms.	5.87 ms
18:41:58.110	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.27 ms
18:41:58.113	127.0.0.1:54634	admin	OK	Query executed in 1.72 ms.	1.95 ms
18:41:58.428	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.12 ms
18:41:58.436	127.0.0.1:54634	admin	OK	Resource(s) added in 5.17 ms.	8.66 ms
18:41:58.437	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.39 ms
18:41:58.440	127.0.0.1:54634	admin	OK	Query executed in 2.98 ms.	3.38 ms
18:41:58.765	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.13 ms
18:41:58.773	127.0.0.1:54634	admin	OK	Resource(s) added in 4.56 ms.	7.78 ms
18:41:58.774	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.25 ms
18:41:58.783	127.0.0.1:54634	admin	OK	Query executed in 1.88 ms.	10.24 ms
18:41:59.110	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.13 ms
18:41:59.117	127.0.0.1:54634	admin	OK	Resource(s) added in 3.57 ms.	6.49 ms
18:41:59.117	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.27 ms
18:41:59.120	127.0.0.1:54634	admin	OK	Query executed in 2.56 ms.	2.84 ms
18:41:59.445	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.16 ms
18:41:59.452	127.0.0.1:54634	admin	OK	Resource(s) added in 3.27 ms.	7.07 ms
18:41:59.453	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.2 ms
18:41:59.455	127.0.0.1:54634	admin	OK	Query executed in 1.89 ms.	2.17 ms
18:41:59.772	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.11 ms
18:41:59.778	127.0.0.1:54634	admin	OK	Resource(s) added in 2.62 ms.	5.6 ms
18:41:59.778	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.25 ms
18:41:59.780	127.0.0.1:54634	admin	OK	Query executed in 1.91 ms.	2.18 ms
18:42:00.109	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.12 ms
18:42:00.115	127.0.0.1:54634	admin	OK	Resource(s) added in 2.75 ms.	5.66 ms
18:42:00.115	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.19 ms
18:42:00.118	127.0.0.1:54634	admin	OK	Query executed in 2.24 ms.	2.63 ms
18:42:00.475	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.12 ms
18:42:00.482	127.0.0.1:54634	admin	OK	Resource(s) added in 2.84 ms.	6.7 ms
18:42:00.482	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.21 ms
18:42:00.485	127.0.0.1:54634	admin	OK	Query executed in 1.93 ms.	2.27 ms
18:42:00.813	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.16 ms
18:42:00.823	127.0.0.1:54634	admin	OK	Resource(s) added in 6.0 ms.	10.63 ms
18:42:00.824	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.25 ms
18:42:00.827	127.0.0.1:54634	admin	OK	Query executed in 3.24 ms.	3.58 ms
18:42:01.213	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.11 ms
18:42:01.219	127.0.0.1:54634	admin	OK	Resource(s) added in 2.93 ms.	6.03 ms
18:42:01.219	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.19 ms
18:42:01.222	127.0.0.1:54634	admin	OK	Query executed in 2.13 ms.	2.39 ms
18:42:02.559	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.11 ms
18:42:02.566	127.0.0.1:54634	admin	OK	Resource(s) added in 4.31 ms.	7.61 ms
18:42:02.567	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.22 ms
18:42:02.569	127.0.0.1:54634	admin	OK	Query executed in 1.97 ms.	2.21 ms
18:42:02.905	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.12 ms
18:42:02.910	127.0.0.1:54634	admin	OK	Resource(s) added in 2.55 ms.	5.76 ms
18:42:02.911	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.23 ms
18:42:02.914	127.0.0.1:54634	admin	OK	Query executed in 2.31 ms.	2.66 ms
18:42:03.216	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.11 ms
18:42:03.222	127.0.0.1:54634	admin	OK	Resource(s) added in 2.63 ms.	5.54 ms
18:42:03.222	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.2 ms
18:42:03.225	127.0.0.1:54634	admin	OK	Query executed in 1.99 ms.	2.3 ms
18:42:03.547	127.0.0.1:54634	admin	REQUEST	ADD TO 2000/2000drivers [...]	0.11 ms
18:42:03.555	127.0.0.1:54634	admin	OK	Resource(s) added in 4.94 ms.	7.72 ms
18:42:03.555	127.0.0.1:54634	admin	REQUEST	XQUERY for $p in collection('f1')//DriverTable where $p/@season=2000 return $p	0.25 ms
18:42:03.558	127.0.0.1:54634	admin	OK	Query executed in 2.61 ms.	2.93 ms
